2;49: 1
3_22_29_60;23_25_32_52: 1
3_22_32_52;2_26_54_63: 1
3_22_37_46;2_30_42_52: 1
3_22_41_66;25_47_54_60: 1
3_22_52_56;23_30_32_37: 2
3_22_52_56;25_30_49_60: 1
3_22_52_58;25_30_32_49: 1
3_22_52_58;30_41_60_64: 1
3_22_52_58;30_46_47_60: 1
3_23_24_32;25_31_52_60: 1
3_23_26_30;25_32_52_60: 1
3_23_26_32;2_25_30_46: 1
3_23_26_32;2_39_46_60: 1
3_23_26_32;2_43_45_54: 1
3_23_26_32;25_30_38_46: 1
3_23_26_32;25_30_43_46: 1
3_23_26_32;25_30_46_60: 1
3_23_26_32;30_43_46_60: 1
3_23_26_52;32_46_47_60: 1
3_23_29_31;43_46_48_60: 1
3_23_29_47;22_30_32_41: 1
3_23_30_57;22_32_52_56: 1
3_23_32_33;2_43_45_54: 1
3_23_32_33;25_30_31_49: 1
3_23_32_52;25_30_46_60: 1
3_23_32_52;25_31_43_60: 1
3_23_32_52;25_46_50_60: 1
3_23_32_52;42_43_54_58: 1
3_23_32_66;25_30_49_60: 1
3_23_32_66;30_38_55_57: 1
3_23_41_48;31_43_54_58: 1
3_23_51_52;25_30_46_64: 1
3_23_52_56;49_54_60_64: 1
3_23_52_58;2_32_60_63: 1
3_23_52_58;25_30_32_66: 1
3_23_52_58;39_49_60_64: 1
3_23_52_60;2_25_32_49: 1
3_24_31_41;43_46_48_60: 1
3_24_31_43;23_25_32_52: 1
3_24_31_60;16_25_32_47: 1
3_24_31_66;2_23_32_63: 1
3_24_31_66;2_37_43_54: 1
3_24_31_66;23_32_33_47: 1
3_24_48_60;31_43_54_58: 1
3_24_58_66;23_32_52: 1
3_25_26_30;23_32_52_60: 1
3_25_27_46;31_36_39_56: 1
3_25_29_46;23_32_52_60: 1
3_25_29_66;23_30_32_37: 1
3_25_30_46;23_32_52_60: 2
3_25_30_46;32_47_52_56: 1
3_25_30_52;23_32_33_47: 1
3_25_32_52;2_22_39_46: 1
3_25_32_52;30_31_55_57: 1
3_25_32_52;30_46_47_60: 1
3_25_39_46;23_32_52_60: 1
3_25_42_52;23_30_32_37: 1
3_25_44_48;23_32_52_60: 1
3_25_46_50;30_32_49_60: 1
3_25_46_52;2_5_54_63: 1
3_25_46_60;23_32_52_56: 1
3_25_52_56;23_30_32_37: 1
3_25_52_56;23_30_32_60: 1
3_25_52_56;32_42_47_58: 1
3_25_52_56;60: 1
3_25_52_58;2_23_32_43: 1
3_25_52_60;32_37_47_63: 2
3_26;23_30_32_37: 1
3_26_27_30;23_25_31_32: 1
3_26_27_30;23_25_32_52: 4
3_26_29_30;23_25_32_52: 2
3_26_29_43;23_30_32_37: 1
3_26_30_31;23_25_32_52: 2
3_26_30_31;23_32_33_47: 1
3_26_30_31;23_32_52_60: 1
3_26_30_31;25_43_46_48: 1
3_26_30_31;32_43_52_58: 1
3_26_30_32;2_25_39_46: 1
3_26_30_32;2_47_54_63: 1
3_26_30_32;21_43_46_60: 1
3_26_30_32;25_31_39_49: 1
3_26_30_32;25_43_46_48: 2
3_26_30_38;2_39_41_47: 2
3_26_30_38;16_25_32_47: 3
3_26_30_38;22_23_32_66: 1
3_26_30_38;23_25_32_36: 1
3_26_30_38;23_25_32_49: 1
3_26_30_38;23_25_32_52: 18
3_26_30_38;23_29_32_43: 1
3_26_30_38;23_31_32_66: 1
3_26_30_38;23_32_33_47: 3
3_26_30_38;23_32_47_52: 1
3_26_30_38;23_32_52_60: 3
3_26_30_38;24_31_43_54: 1
3_26_30_38;25_32_46_52: 1
3_26_30_38;25_32_49_64: 1
3_26_30_38;32_47_49_64: 1
3_26_30_38;32_47_52_58: 1
3_26_30_38;32_52_58_60: 1
3_26_30_38;32_52_64_66: 1
3_26_30_38;46_47_50_60: 1
3_26_30_38;49_54_58_60: 1
3_26_30_43;2_23_32_47: 1
3_26_30_43;2_39_41_60: 1
3_26_30_43;23_25_32_52: 8
3_26_30_43;23_32_52_60: 1
3_26_30_43;25_32_47_52: 1
3_26_30_46;23_25_32_52: 1
3_26_30_47;25_32_49_60: 1
3_26_30_52;25_32_49_64: 1
3_26_30_55;23_32_52_60: 1
3_26_30_55;32_43_52_56: 1
3_26_30_58;23_32_52_56: 1
3_26_30_58;32_43_52_56: 1
3_26_30_60;23_25_32_52: 2
3_26_32_52;25_30_38_46: 1
3_26_34_38;16_30_32_60: 1
3_26_38_52;25_30_46_60: 1
3_26_52_58;30_32_46_60: 1
3_26_52_60;23_32_37_43: 1
3_27_30_58;23_25_32_52: 1
3_29_30_41;23_25_32_52: 1
3_29_30_58;32_43_49_60: 1
3_29_31_60;23_25_32_52: 1
3_30_32_49;24_25_31_43: 1
3_30_46_60;2_45_47_54: 1
3_30_46_60;32_51_52_56: 1
3_30_47_60;22_32_52_56: 1
3_30_49_60;2_22_54_63: 1
3_30_49_64;23_25_32_52: 1
3_30_51_52;2_32_35_41: 1
3_30_51_58;23_25_32_52: 1
3_30_52_56;25_43_54_60: 1
3_30_52_60;2_22_54_63: 1
3_30_55_57;23_25_32_52: 1
3_30_55_57;24_25_32_49: 1
3_30_55_57;32_47_64_66: 1
3_31_41_49;23_25_32_52: 1
3_31_42_47;25_30_48_60: 1
3_31_43_51;25_32_52_60: 1
3_31_52_60;32_37_47_63: 1
3_31_58_66;23_25_32_52: 1
3_31_58_66;25_30_46_60: 1
3_32_33_47;30_49_52_60: 1
3_32_37_47;30_49_52_60: 1
3_32_38_58;2_30_31_63: 1
3_32_41_52;37_39_47_63: 1
3_32_43_60;39_45_51_52: 1
3_32_49_52;2_39_47_60: 1
3_32_52;58: 1
3_32_52_56;23_25_46_60: 1
3_32_52_56;23_30_37_63: 1
3_32_52_56;25_30_41_46: 2
3_32_52_56;25_30_46_60: 2
3_32_52_56;30_37_54_63: 1
3_32_52_56;37_39_47_63: 1
3_32_52_58;24_31_43_54: 1
3_32_52_58;30_49_60_64: 1
3_32_52_60;30_38_55_57: 1
3_32_52_60;34_37_47_63: 3
3_32_52_66;2_36_54_63: 1
3_32_64_66;30_38_42_60: 1
3_34_45_51;23_25_32_52: 1
3_37_49_64;23_32_33_47: 1
3_38_48_60;23_32_33_43: 1
3_38_55_57;30_37_46_60: 1
3_39_51_52;25_30_41_46: 1
3_39_51_58;23_32_52_60: 1
3_41_42_58;25_30_31_46: 1
3_41_51_52;2_37_46_63: 1
3_41_52_60;2_37_54_63: 1
3_42_46_52;49_54_58_60: 1
3_42_47_60;23_30_32_37: 1
3_43_46_58;23_25_32_52: 1
3_43_58_60;25_31_32_49: 1
3_45_51_52;16_25_30_32: 1
3_45_51_52;25_30_46_60: 2
3_45_51_58;25_30_52_56: 1
3_46_47_58;23_32_52_60: 1
3_46_47_58;30_38_55_57: 1
3_46_52_58;25_30_54_60: 1
3_46_58_60;23_31_52_54: 1
3_46_58_60;25_32_49_64: 1
3_46_60_64;43_52_54_58: 1
3_47_52_60;23_30_32_37: 1
3_47_52_66;2_23_30_32: 1
3_47_52_66;30_46_58_60: 1
3_49_52_60;37_47_54_63: 1
3_51_52_58;25_30_46_64: 1
3_52;23_37: 1
3_52_54_56;34_46_49_60: 1
3_52_56_58;2_37_54_63: 1
3_52_56_58;23_25_32_60: 1
3_52_56_58;25_30_49_64: 1
3_52_56_60;23_30_32_37: 1
3_52_56_60;25_27_30_46: 1
3_52_56_60;27_45_51_58: 1
3_52_56_60;30_37_47_63: 1
3_52_56_60;32_37_47_63: 1
3_52_58_60;2_37_54_63: 1
3_52_58_60;2_47_54_63: 1
3_58_60_66;23_25_32_52: 1
3_60_64_66;23_25_32_52: 1
5_6_24_57;25_30_43_54: 1
5_14_30_54;3_25_32_52: 1
5_22_23_30;32_47_52_60: 1
5_23_31_32;22_25_54_64: 1
5_23_32_42;25_30_38_46: 1
5_23_39_51;3_32_52_56: 1
5_24_25_48;27_30_46_60: 1
5_24_49_54;23_25_32_36: 1
5_25;26_30: 1
5_25_30_46;2_39_41_43: 1
5_25_30_46;32_47_52_56: 1
5_25_30_46;32_49_50_58: 1
5_25_41_46;2_32_43_63: 1
